,vol1,close1,vol2,close2,vol3,close3,vol4,close4,vol5,close5,vol6,close6,vol7,close7,vol8,close8,vol9,close9,vol10,close10,moving_average5_1,moving_average5_2,moving_average5_3,moving_average5_4,moving_average5_5,moving_average5_6,moving_average5_7,moving_average5_8,moving_average5_9,moving_average5_10
907,5463000,92.68,10347900,121.42,15688300,101.5,14690300,145.75,3610700,1518.01,8471100,167.0,10409100,138.25,16903200,240.68,2607100,198.15,3521000,2248.41,93.99199999999999,120.65800000000002,101.65,139.35,1505.468,168.2,130.75,241.51999999999998,196.674,2299.7
908,8080600,93.44,23652600,125.92,29849900,99.75,12715100,145.75,4698900,1522.56,9048000,168.0,19148500,140.25,55230900,230.9,3776700,201.85,2905100,2230.84,93.78999999999999,120.522,101.5,141.1,1508.7400000000002,167.95,133.2,242.406,196.67399999999998,2283.188
909,10863000,92.44,29408500,132.21,49106900,104.5,41259900,153.5,7664400,1560.74,8123400,164.0,22509500,142.75,59946100,230.2,5944100,203.58,3716900,2216.79,93.59,121.73599999999999,100.85,142.6,1510.5580000000002,167.65,135.4,239.984,198.10399999999998,2268.608
910,8691200,91.17,18104100,129.74,43254100,107.25,14398300,152.25,5356900,1560.74,10650500,163.75,15879400,141.5,40713300,225.54,12898500,216.64,3878000,2201.86,93.038,124.34400000000001,101.85,145.85,1524.012,166.4,137.5,237.18799999999996,200.57,2253.678
911,10378200,91.17,13777100,134.01,16635800,108.75,11998300,152.5,6116600,1563.46,19032200,162.25,26410700,139.5,30392300,231.13,9615000,222.06,4151700,2244.02,92.584,126.098,102.85,147.8,1536.012,165.6,139.8,233.83399999999997,204.02,2237.166
912,17152300,93.44,7345900,133.79,20234900,109.5,9061100,155.25,4178200,1558.01,8202200,163.5,18444000,135.0,15678700,231.36,4082900,226.5,2637400,2279.15,92.18,128.66,104.35,149.95,1545.1019999999999,165.0,140.45,231.68999999999997,208.456,2228.384
913,26739400,95.2,6256400,134.01,22407200,109.0,14199300,156.5,3899400,1529.83,7551900,170.0,9857400,134.5,12153400,228.57,5970400,225.02,3404000,2251.92,92.33200000000001,131.134,105.95,151.85,1553.102,164.3,139.8,229.82600000000002,214.12599999999998,2234.532
914,8931600,97.45,11690200,132.44,11722700,107.75,9117400,157.75,7121600,1521.65,8357200,171.0,20252000,133.25,22976800,231.36,6309800,220.34,3801000,2292.32,92.684,132.752,107.8,154.0,1554.556,164.7,138.65,229.35999999999999,218.76,2238.748
915,14190900,96.45,9794700,131.76,19969900,107.0,21385600,157.25,5511900,1516.2,9356800,170.0,19062800,133.0,29412200,228.8,3940300,217.63,6758000,2343.26,93.68599999999999,132.798,108.45,154.85,1546.738,166.1,136.75,229.592,222.112,2253.8540000000003
916,8695600,96.2,12175100,133.11,23146200,107.5,17175000,154.5,5799100,1508.02,13886500,170.0,24596900,135.25,27616600,224.37,6352700,216.64,4756700,2314.28,94.74199999999999,133.202,108.4,155.85,1537.8300000000002,167.35,135.05,230.244,222.31000000000003,2282.134
917,5376700,95.45,10463600,132.66,34157600,102.25,20711700,151.5,4461600,1511.65,11352400,169.5,23072400,133.0,21464000,226.0,2671000,216.39,2684000,2313.4,95.74799999999999,133.022,108.15,156.25,1526.7419999999997,168.9,134.2,228.892,221.22600000000003,2296.186
918,7667300,93.95,12668800,135.36,52167600,100.75,21975300,153.0,6868300,1499.83,13030600,170.0,18504600,133.0,24590800,224.37,6718600,226.5,4741100,2309.89,96.15,132.796,106.7,155.5,1517.47,170.1,133.8,227.82,219.204,2303.036
919,4902400,92.68,11217800,135.36,36969900,101.75,7867700,152.75,4848400,1518.92,9824400,165.0,23346800,140.5,22782900,223.67,11841300,220.34,3448200,2362.59,95.9,133.066,105.05,154.8,1511.47,170.1,133.5,226.98000000000002,219.5,2314.63
920,8712900,93.44,16706000,131.31,27779200,99.5,10304400,149.5,5565900,1494.38,5530300,166.0,21411900,148.0,23498400,220.88,5348700,215.65,7139700,2298.47,94.946,133.65,103.85,153.8,1510.9240000000002,168.9,134.95,225.442,219.5,2328.684
921,24579900,93.19,10094400,129.97,33371800,99.0,20010000,147.0,6259000,1472.56,10715400,166.0,47052800,147.25,38973200,222.28,7790200,213.68,4877400,2285.3,94.34400000000001,133.56,102.35,152.25,1506.56,168.1,137.95,223.858,219.10399999999998,2319.7259999999997
922,6392100,95.45,11112100,130.86,33899800,99.25,13790300,145.0,5854500,1459.84,16934700,164.5,33454000,139.5,19503600,224.37,7472200,209.25,3451700,2310.77,93.742,132.93200000000002,100.65,150.75,1499.468,167.3,140.35,223.44,218.512,2313.9300000000003
923,4745900,94.44,7478900,128.84,24702100,98.25,17331700,149.0,7234600,1477.11,15763800,164.5,24068300,136.5,21716200,226.93,7096200,207.03,3688400,2291.44,93.74199999999999,132.572,100.05,149.45,1489.1060000000002,166.3,141.65,223.11399999999998,217.084,2313.404
924,4269000,93.44,11835400,127.04,15905400,98.5,13635900,149.5,6142800,1484.38,10299400,165.75,27581500,136.5,17495400,227.63,8215500,210.97,3154700,2318.67,93.84,131.268,99.55,148.65,1484.5620000000001,165.2,142.35,223.62599999999998,213.19,2309.714
925,3038100,93.19,12479000,127.49,17105400,97.25,10174500,149.75,5130600,1467.11,8842900,162.5,18818400,139.0,25887800,223.21,10602800,217.13,2897800,2316.04,93.99199999999999,129.60399999999998,98.9,148.0,1477.654,165.35,141.55,224.41800000000003,211.31599999999997,2300.9300000000003
926,5283500,92.68,12888600,130.41,37739300,101.0,16725300,149.25,4118600,1488.02,13088100,162.0,20277800,136.0,20288600,225.3,4481700,214.91,2549300,2314.28,93.942,128.84,98.45,148.05,1472.1999999999998,164.65,139.75,224.88399999999996,211.612,2304.4440000000004
927,5438400,92.93,6553600,133.11,24933500,102.0,6480600,151.5,5136500,1491.65,12765000,161.0,14578700,140.25,17061900,226.0,3060600,213.93,2176600,2327.45,93.84,128.928,98.85,148.5,1475.292,163.85,137.5,225.488,211.858,2310.2400000000002
928,8283400,93.69,5602400,132.89,15771100,100.25,8428400,153.0,5187300,1478.93,13434100,159.5,10272600,138.0,20855700,222.97,4228100,216.89,2766300,2330.97,93.336,129.378,99.4,149.8,1481.6539999999998,163.15,137.65,225.814,212.794,2313.576
929,4872400,93.44,7524200,134.01,25660400,100.5,15864400,152.75,5073500,1481.65,19218800,159.0,17667100,140.25,17778800,224.14,4443600,220.58,5941300,2278.27,93.186,130.188,99.8,150.6,1482.018,162.15,137.95,225.02200000000002,214.766,2321.4819999999995
930,8058500,93.69,11968800,135.14,29683700,99.5,16104600,151.5,7432300,1458.02,29547100,161.5,12397100,141.0,33645700,227.63,5040200,218.61,5610600,2251.04,93.186,131.582,100.2,151.25,1481.4720000000002,160.8,138.7,224.32399999999998,216.68800000000002,2313.402
931,5001800,93.19,5792600,134.69,27591700,99.5,12927300,149.25,4596800,1472.56,30666700,166.0,13579900,142.5,32225300,231.83,4361000,221.08,3923200,2283.54,93.286,133.112,100.65,151.6,1479.654,160.6,139.1,225.208,216.984,2300.4019999999996
932,6629100,93.44,2658300,133.34,11511800,99.0,6066300,150.25,3960400,1474.38,6793900,176.0,5841400,142.5,19352600,232.06,2430700,224.53,1797700,2270.37,93.388,133.968,100.35,151.6,1476.562,161.4,140.4,226.51399999999998,218.218,2294.254
933,14049300,92.44,7181800,136.71,25506700,100.0,18395100,155.0,7495600,1503.47,9402000,175.0,11145600,143.75,16884000,234.16,12041900,237.34,3104300,2252.8,93.49,134.014,99.75,151.35,1473.108,164.4,140.85,227.72600000000003,220.33800000000002,2282.8379999999997
934,14801700,93.44,10825600,137.16,56640400,103.5,14435500,159.5,5635700,1486.2,10316000,179.5,12924900,141.0,14072200,234.86,13861500,241.29,4257700,2271.64,93.24,134.778,99.7,151.75,1478.016,167.5,142.0,229.96400000000003,224.42800000000003,2267.204
935,6560300,94.19,7778700,138.06,26335200,104.75,14757100,161.75,15722600,1572.55,15082700,178.75,14813400,142.0,20566900,236.95,8380100,239.56,4769000,2278.82,93.24,135.408,100.3,153.1,1478.926,171.6,142.15,232.108,228.57000000000002,2265.8779999999997
936,7332100,94.95,13929800,132.44,13401100,103.0,8065200,159.5,9046400,1556.19,17043200,177.0,10921700,140.0,28373900,236.95,10603600,232.66,4125500,2281.51,93.34,135.99200000000002,101.35,155.15,1501.8319999999999,175.05,142.35,233.97199999999998,232.76,2271.434
937,8308800,93.95,8297900,131.99,13413200,104.25,5848200,160.0,4614700,1558.01,21474600,187.0,7939600,139.0,17963000,234.62,6863700,232.66,2501800,2282.41,93.692,135.542,102.05,157.2,1518.5580000000002,177.25,141.85,234.996,235.07600000000002,2271.028
938,5505200,94.95,9005500,128.39,51368800,101.0,4652800,157.25,5510800,1560.74,23175200,177.75,6754200,137.75,20148700,235.32,4854500,227.24,3408600,2273.44,93.794,135.272,103.1,159.15,1535.284,179.45,141.15,235.50799999999998,236.702,2273.436
939,5540700,92.68,7402800,130.19,36870900,103.0,3812400,157.5,5650800,1569.83,16598600,183.5,12663600,138.5,16618200,236.02,3800500,226.5,3139000,2294.97,94.29599999999999,133.608,103.3,159.6,1546.738,180.0,139.95,235.74,234.68199999999996,2277.5640000000003
940,6200800,92.93,7330300,128.39,35301900,101.0,4500500,159.0,5274800,1568.92,33015000,182.0,8409300,136.75,13563100,236.49,4613900,226.99,2405500,2304.84,94.14399999999999,132.214,103.2,159.2,1563.464,180.8,139.45,235.97199999999998,231.724,2282.23
941,14957900,94.19,7094200,126.14,19936900,100.0,7510300,158.5,8169800,1548.92,20874700,184.25,11844500,136.25,25982900,239.98,8413500,232.17,3884500,2289.58,93.89200000000001,130.28,102.45,158.65,1562.7379999999998,181.45,138.4,235.88000000000002,229.20999999999998,2287.434
942,14195000,95.45,8123900,127.72,28949600,101.25,6483100,159.75,3618000,1572.55,10166700,189.5,7723800,134.75,15093600,239.75,5296600,233.65,3138000,2330.85,93.74000000000001,129.02,101.85,158.45,1561.284,182.9,137.65,236.48600000000002,229.112,2289.048
943,6824600,95.71,6258200,127.04,17003100,101.0,4837900,159.25,4938000,1569.83,19352800,190.25,9654400,135.75,17584200,238.12,9758300,243.75,3536600,2350.59,94.03999999999999,128.166,101.25,158.4,1564.192,183.4,136.8,237.512,229.31,2298.736
944,6886100,96.71,11553000,123.89,40171700,100.0,8515500,155.5,5271200,1585.28,20225100,195.5,30839700,135.75,20303100,237.65,6096900,240.5,2221700,2346.11,94.192,127.89599999999999,101.25,158.8,1566.01,185.9,136.4,238.07200000000003,232.612,2314.166
